Email,frequency,recency,T,monetary_value,Compras_Predichas_6m,Ticket_Promedio_Predicho,LTV_6_Meses_Predicho
cliente_1319@ejemplo.com,2.0,97.0,485.0,101804.0,0.09,107971.36,10106.29
cliente_0893@ejemplo.com,2.0,18.0,237.0,47750.0,0.15,65343.08,9697.97
cliente_1717@ejemplo.com,1.0,89.0,621.0,163715.0,0.06,152291.42,9640.64
cliente_1274@ejemplo.com,1.0,126.0,497.0,70241.0,0.1,91438.42,9569.43
cliente_1266@ejemplo.com,1.0,135.0,501.0,67075.0,0.11,89377.3,9554.49
cliente_1396@ejemplo.com,1.0,125.0,542.0,89075.0,0.09,103699.64,9518.48
cliente_1883@ejemplo.com,1.0,23.0,626.0,300551.0,0.04,241373.73,9484.9
cliente_1224@ejemplo.com,1.0,15.0,357.0,94715.0,0.09,107371.37,9466.64
cliente_1310@ejemplo.com,2.0,99.0,484.0,89652.5,0.1,98388.39,9445.14
cliente_1492@ejemplo.com,1.0,39.0,509.0,151917.0,0.06,144610.74,9145.64
cliente_1560@ejemplo.com,1.0,58.0,544.0,145003.0,0.07,140109.62,9134.38
cliente_1226@ejemplo.com,1.0,8.0,352.0,95307.0,0.08,107756.77,9036.93
cliente_1343@ejemplo.com,1.0,225.0,619.0,65241.0,0.1,88183.34,8981.36
cliente_1747@ejemplo.com,1.0,119.0,664.0,130584.8,0.07,130723.15,8569.77
cliente_1300@ejemplo.com,1.0,13.0,397.0,105241.0,0.07,114223.95,8431.23
cliente_1502@ejemplo.com,1.0,68.0,541.0,114574.01,0.07,120299.88,8421.07
cliente_1784@ejemplo.com,1.0,55.0,613.0,174395.89,0.05,159244.84,8401.38
cliente_1488@ejemplo.com,1.0,19.0,488.0,156699.99,0.06,147724.54,8397.76
cliente_1332@ejemplo.com,1.0,8.0,399.0,112065.0,0.07,118666.48,8249.68
cliente_1617@ejemplo.com,1.0,101.0,602.0,107722.01,0.07,115839.13,8173.08
cliente_1457@ejemplo.com,1.0,144.0,596.0,76722.01,0.09,95657.65,8169.77
cliente_1675@ejemplo.com,1.0,101.0,611.0,111000.0,0.07,117973.15,8132.32
cliente_1244@ejemplo.com,2.0,57.0,411.0,84000.0,0.09,93930.7,7999.18
cliente_1355@ejemplo.com,1.0,64.0,464.0,69318.0,0.09,90837.53,7853.58
cliente_1225@ejemplo.com,2.0,30.0,374.0,108750.0,0.07,113449.15,7849.68
cliente_1501@ejemplo.com,1.0,77.0,550.0,94974.01,0.07,107539.98,7726.86
cliente_1692@ejemplo.com,1.0,35.0,559.0,144591.0,0.05,139841.4,7372.83
cliente_1336@ejemplo.com,1.0,96.0,489.0,46372.01,0.09,75899.34,7178.48
cliente_1500@ejemplo.com,1.0,13.0,486.0,133715.0,0.05,132760.96,7151.55
cliente_1287@ejemplo.com,2.0,132.0,509.0,42741.0,0.12,61392.86,7093.63
cliente_1680@ejemplo.com,1.0,77.0,590.0,98241.0,0.06,109666.84,7056.9
cliente_1334@ejemplo.com,1.0,98.0,490.0,43372.01,0.1,73946.3,7037.07
cliente_1696@ejemplo.com,2.0,57.0,582.0,206000.0,0.04,190142.84,6942.27
cliente_1466@ejemplo.com,2.0,83.0,543.0,105472.01,0.06,110864.05,6787.8
cliente_1813@ejemplo.com,1.0,95.0,667.0,104453.0,0.06,113710.95,6619.98
cliente_1605@ejemplo.com,1.0,7.0,505.0,142722.01,0.05,138624.66,6574.42
cliente_1845@ejemplo.com,1.0,12.0,601.0,194000.0,0.04,172007.41,6467.49
cliente_1614@ejemplo.com,1.0,58.0,558.0,82722.01,0.06,99563.75,6235.15
cliente_1395@ejemplo.com,1.0,74.0,490.0,42065.0,0.08,73095.41,6166.06
cliente_1615@ejemplo.com,2.0,111.0,611.0,90715.26,0.06,99226.51,6155.44
cliente_1612@ejemplo.com,1.0,86.0,585.0,63007.0,0.07,86728.97,5940.16
cliente_1324@ejemplo.com,1.0,3.0,392.0,64318.0,0.07,87582.46,5914.34
cliente_1563@ejemplo.com,1.0,85.0,571.0,54699.99,0.07,81320.98,5754.81
cliente_1681@ejemplo.com,3.0,143.0,656.0,133298.0,0.04,132946.78,5749.05
cliente_1623@ejemplo.com,1.0,106.0,609.0,52916.01,0.07,80159.59,5684.81
cliente_1571@ejemplo.com,1.0,91.0,580.0,50778.0,0.07,78767.71,5610.15
cliente_1843@ejemplo.com,1.0,5.0,592.0,168570.0,0.04,155452.09,5534.12
cliente_1825@ejemplo.com,1.0,63.0,639.0,92949.01,0.05,106221.68,5523.45
cliente_1584@ejemplo.com,1.0,15.0,508.0,79699.99,0.05,97596.36,4998.7
cliente_1317@ejemplo.com,3.0,6.0,394.0,410333.33,0.01,367983.92,4708.44
cliente_1756@ejemplo.com,1.0,29.0,578.0,66000.0,0.05,88677.46,4205.58
cliente_2010@ejemplo.com,1.0,8.0,667.0,87386.0,0.03,102600.07,3087.22
cliente_2042@ejemplo.com,1.0,4.0,682.0,83505.0,0.03,100073.48,2761.51
cliente_1510@ejemplo.com,5.0,168.0,642.0,143623.8,0.02,142399.61,2675.26
cliente_1744@ejemplo.com,4.0,132.0,677.0,141914.42,0.02,140622.36,2162.04
cliente_1826@ejemplo.com,3.0,89.0,666.0,117648.67,0.02,119669.87,2111.65
